"The Mentalist","/mnt/share/Videos/Series Americaines/The Mentalist","^.*the.*mentalist.*$",0
"Greys Anatomy","/mnt/share/Videos/Series Americaines/Greys Anatomy","^.*grey.*anatomy.*$",0
"Vampire Diaries","/mnt/share/Videos/Series Americaines/Vampire Diaries","^.*vampire.*diaries.*$",0
"Shameless","/mnt/share/Videos/Series Americaines/Shameless","^.*shameless.*$",0
"The Big Bang Theory","/mnt/share/Videos/Series Americaines/The Big Bang Theory","^.*big.*bang.*theory.*$",0
"Revenge","/mnt/share/Videos/Series Americaines/Revenge","^.*revenge.*$",0
"Suits","/mnt/share/Videos/Series Americaines/Suits","^.*suits.*$",0
"The Simpsons","/mnt/share/Videos/Series Americaines/The Simpsons","^.*simpsons.*$",0
"Modern Family","/mnt/share/Videos/Series Americaines/Modern Family","^.*modern.*family.*$",0
"Gotham","/mnt/share/Videos/Series Americaines/Gotham","^.*gotham.*$",0
"Pretty Little Liars","/mnt/share/Videos/Series Americaines/Pretty Little Liars","^.*pretty.*little.*liars.*$",0
"Assassination Classroom","/mnt/share/Videos/Animations Japonaises/Assassination Classroom","^.*assassination.*classroom.*$",0
"Trinity Seven","/mnt/share/Videos/Animations Japonaises/Trinity Seven","^.*trinity.*seven.*$",0
"Death Parade","/mnt/share/Videos/Animations Japonaises/Death Parade","^.*death.*parade.*$",0
"World Trigger","/mnt/share/Videos/Animations Japonaises/World Trigger","^.*world.*trigger.*$",0
"Akame Ga Kill!","/mnt/share/Videos/Animations Japonaises/Akame Ga Kill!","^.*akame.*ga.*kill.*$",0
"Aldnoah Zero","/mnt/share/Videos/Animations Japonaises/Aldnoah Zero","^.*aldnoah.*zero.*$",0
"Garo - The Animation","/mnt/share/Videos/Animations Japonaises/Garo - The Animation","^.*garo.*animation.*$",0
